tconst	averageRating	numVotes
tt0000574	6.1	598
tt0001892	5.8	190
tt0002101	5.2	454
tt0002130	7.1	2294
tt0002199	5.7	490
tt0002281	6.1	260
tt0002423	6.8	761
tt0002445	6.2	276
tt0002452	6.6	200
tt0002461	5.5	223
tt0002646	6.6	337
tt0002844	7.0	1962
tt0003014	7.1	966
tt0003037	7.0	1364
tt0003102	6.2	101
tt0003131	6.6	126
tt0003165	7.0	1063
tt0003167	5.8	185
tt0003419	6.5	1799
tt0003471	6.0	559
tt0003489	6.2	474
tt0003637	6.4	383
tt0003643	6.4	1126
tt0003657	6.5	149
tt0003740	7.1	3118
tt0003772	6.0	931
tt0003883	7.5	309
tt0003930	6.9	1170
tt0003952	6.9	942
tt0003973	5.8	206
tt0004026	6.8	1049
tt0004066	7.0	506
tt0004099	5.2	417
tt0004134	6.6	458
tt0004150	5.8	407
tt0004181	6.1	1247
tt0004457	5.5	383
tt0004465	6.3	939
tt0004635	5.7	882
tt0004681	6.1	180
tt0004707	6.3	3270
tt0004712	6.3	167
tt0004743	5.3	112
tt0004766	5.6	173
tt0004825	6.4	252
tt0004838	5.7	136
tt0004872	6.5	208
tt0004873	6.2	402
tt0004972	6.3	22482
tt0005060	6.4	898
tt0005078	6.6	2329
tt0005149	6.0	247
tt0005339	5.8	790
tt0005402	6.4	189
tt0005529	6.7	270
tt0005557	6.5	304
tt0005680	5.9	132
tt0005719	5.6	136
tt0005809	6.1	299
tt0005916	6.9	800
tt0005951	6.9	608
tt0005960	6.8	1123
tt0006206	7.3	4216
tt0006327	5.9	148
tt0006333	6.2	1520
tt0006405	6.7	363
tt0006509	4.5	559
tt0006517	6.0	289
tt0006589	6.7	125
tt0006617	6.1	201
tt0006688	6.3	144
tt0006731	5.2	608
tt0006736	6.5	169
tt0006745	5.7	477
tt0006753	6.5	146
tt0006780	6.8	845
tt0006809	5.9	127
tt0006826	5.6	836
tt0006864	7.7	14050
tt0006886	7.4	878
tt0007047	5.9	575
tt0007183	6.9	619
tt0007257	4.8	567
tt0007260	6.4	139
tt0007309	5.6	184
tt0007338	6.4	316
tt0007340	6.8	388
tt0007361	6.2	349
tt0007367	5.2	507
tt0007522	5.8	102
tt0007558	6.3	602
tt0007610	5.9	268
tt0007755	6.0	474
tt0007801	6.6	299
tt0007983	6.1	133
tt0008011	6.0	136
tt0008100	6.5	606
tt0008150	6.5	508
tt0008188	6.0	610
tt0008196	5.8	636
tt0008279	6.3	109
tt0008309	6.7	256
tt0008395	7.0	465
tt0008443	6.7	1281
tt0008489	6.4	133
tt0008499	6.1	775
tt0008519	5.8	750
tt0008536	6.9	146
tt0008634	6.2	384
tt0008652	6.0	110
tt0008663	7.4	1532
tt0008672	6.1	187
tt0008679	4.7	481
tt0008687	6.1	141
tt0008710	6.6	148
tt0008775	6.4	561
tt0008827	5.8	741
tt0008843	5.9	124
tt0008854	5.5	559
tt0008879	7.2	1535
tt0008891	7.0	788
tt0008930	6.0	118
tt0008950	6.0	269
tt0009014	5.9	132
tt0009062	6.2	517
tt0009086	5.3	280
tt0009150	6.4	911
tt0009153	6.1	123
tt0009241	5.1	594
tt0009326	6.4	119
tt0009356	5.2	614
tt0009369	5.9	1061
tt0009440	6.4	177
tt0009475	4.3	482
tt0009559	6.1	342
tt0009608	5.1	698
tt0009652	6.6	1362
tt0009682	5.7	697
tt0009701	7.0	313
tt0009737	5.9	109
tt0009796	6.8	265
tt0009878	7.0	1134
tt0009892	5.8	1061
tt0009893	7.2	1656
tt0009894	7.1	167
tt0009900	6.3	861
tt0009915	7.2	208
tt0009937	7.0	1339
tt0009968	7.3	9356
tt0009976	5.7	634
tt0010040	6.5	1311
tt0010060	5.9	814
tt0010071	6.6	1122
tt0010103	5.3	644
tt0010108	6.9	105
tt0010137	5.4	697
tt0010162	6.4	203
tt0010193	5.7	673
tt0010195	6.8	254
tt0010208	5.7	560
tt0010219	3.9	366
tt0010227	5.6	511
tt0010247	7.2	1191
tt0010267	6.7	931
tt0010281	6.9	1254
tt0010307	7.7	1444
tt0010323	8.1	56607
tt0010418	7.0	1722
tt0010446	6.3	115
tt0010456	6.0	172
tt0010466	6.6	143
tt0010484	6.9	167
tt0010533	5.9	101
tt0010559	6.3	144
tt0010598	6.6	782
tt0010600	7.4	1705
tt0010635	5.2	593
tt0010662	4.9	423
tt0010680	6.3	235
tt0010726	6.6	1065
tt0010755	6.9	154
tt0010806	7.0	1615
tt0010821	6.6	453
tt0010844	6.6	333
tt0010853	6.7	154
tt0010879	6.9	779
tt0010890	6.4	340
tt0010925	5.5	725
tt0010953	6.2	143
tt0010962	6.6	583
tt0010964	6.3	128
tt0010969	6.7	316
tt0011000	6.7	1093
tt0011128	6.4	103
tt0011130	7.0	4863
tt0011157	6.6	728
tt0011173	6.2	126
tt0011193	6.5	297
tt0011217	6.4	314
tt0011221	6.0	861
tt0011237	7.2	6747
tt0011267	5.1	260
tt0011294	7.1	164
tt0011302	6.9	191
tt0011317	6.2	142
tt0011344	6.1	110
tt0011358	6.6	341
tt0011362	6.5	103
tt0011369	6.0	112
tt0011370	6.8	325
tt0011371	6.6	276
tt0011387	6.7	1122
tt0011414	4.9	143
tt0011415	5.8	113
tt0011439	7.1	2178
tt0011440	6.5	202
tt0011474	6.5	136
tt0011513	5.7	193
tt0011565	7.4	2035
tt0011588	6.4	360
tt0011607	7.1	1045
tt0011623	6.0	149
tt0011641	6.5	158
tt0011647	5.7	126
tt0011652	6.1	1424
tt0011679	6.0	270
tt0011716	5.1	580
tt0011723	6.4	778
tt0011741	6.3	215
tt0011742	6.1	639
tt0011753	5.5	172
tt0011779	6.4	194
tt0011833	6.9	433
tt0011837	6.1	365
tt0011841	7.4	5010
tt0011865	6.7	1332
tt0011870	6.3	2537
tt0011904	6.8	1078
tt0011908	6.0	104
tt0011909	6.6	1212
tt0011948	6.9	365
tt0011960	6.9	1039
tt0011979	6.8	501
tt0012016	6.4	168
tt0012027	6.6	880
tt0012068	6.7	418
tt0012122	5.5	136
tt0012125	6.4	114
tt0012134	7.0	362
tt0012136	6.4	266
tt0012187	6.4	129
tt0012190	7.2	3074
tt0012249	7.0	385
tt0012281	6.8	214
tt0012313	6.7	289
tt0012314	6.6	241
tt0012334	6.8	216
tt0012349	8.3	111193
tt0012364	8.1	10314
tt0012382	6.1	271
tt0012397	6.7	281
tt0012408	6.5	339
tt0012465	7.0	312
tt0012486	6.2	238
tt0012494	7.7	5220
tt0012513	6.5	211
tt0012532	7.3	4724
tt0012538	6.5	480
tt0012631	6.7	132
tt0012642	6.9	954
tt0012645	6.7	126
tt0012650	6.4	220
tt0012651	6.2	1425
tt0012675	6.4	3075
tt0012699	5.8	112
tt0012745	6.9	137
tt0012752	6.9	852
tt0012755	6.7	166
tt0012763	6.8	1730
tt0012769	5.9	134
tt0012806	6.2	335
tt0012928	6.1	767
tt0012938	6.7	2216
tt0012952	6.5	1239
tt0012973	6.9	571
tt0012975	6.2	256
tt0013033	7.1	344
tt0013059	6.3	343
tt0013075	7.1	1210
tt0013085	6.1	339
tt0013086	7.9	7437
tt0013122	6.5	121
tt0013134	6.2	153
tt0013140	7.0	3115
tt0013169	6.5	364
tt0013201	7.0	1642
tt0013223	5.0	231
tt0013257	7.7	12201
tt0013332	6.7	272
tt0013367	5.4	230
tt0013372	6.2	416
tt0013386	6.6	295
tt0013402	6.7	338
tt0013404	6.4	310
tt0013427	7.6	10753
tt0013428	6.9	118
tt0013442	7.9	87922
tt0013450	6.7	716
tt0013458	5.4	101
tt0013469	6.4	234
tt0013496	6.9	1542
tt0013515	6.7	453
tt0013556	7.2	1986
tt0013571	6.7	818
tt0013574	6.6	103
tt0013579	6.8	862
tt0013590	5.9	101
tt0013592	6.2	371
tt0013597	5.8	556
tt0013607	5.8	159
tt0013619	6.0	169
tt0013662	6.9	422
tt0013674	7.0	501
tt0013688	6.6	658
tt0013704	6.0	120
tt0013705	5.7	136
tt0013741	6.6	446
tt0013750	6.3	965
tt0013802	6.3	366
tt0013830	6.8	123
tt0013909	5.2	321
tt0013933	7.5	1118
tt0013951	6.6	513
tt0014029	6.6	1067
tt0014108	6.9	146
tt0014109	7.1	1091
tt0014112	5.5	116
tt0014142	7.2	4785
tt0014205	6.1	892
tt0014341	7.8	10052
tt0014358	7.4	4346
tt0014397	6.8	254
tt0014416	6.5	270
tt0014417	7.4	1919
tt0014429	8.1	18066
tt0014440	7.0	540
tt0014446	6.7	249
tt0014463	6.5	379
tt0014497	7.0	830
tt0014516	7.0	350
tt0014524	6.2	139
tt0014532	6.8	1934
tt0014538	7.1	3992
tt0014586	6.6	1749
tt0014604	6.4	159
tt0014605	6.8	392
tt0014606	6.2	121
tt0014611	7.4	1557
tt0014619	6.3	101
tt0014624	7.0	4807
tt0014636	6.2	790
tt0014646	6.5	2320
tt0014672	6.4	348
tt0014702	6.7	407
tt0014721	5.8	137
tt0014760	6.9	208
tt0014770	6.5	215
tt0014826	5.7	110
tt0014854	6.9	127
tt0014869	6.5	614
tt0014874	6.3	119
tt0014898	6.9	532
tt0014900	6.4	751
tt0014925	6.1	126
tt0014945	7.7	3049
tt0014972	7.8	3121
tt0014982	6.8	254
tt0015002	7.2	1224
tt0015014	7.2	722
tt0015016	7.2	1926
tt0015018	6.8	300
tt0015022	5.6	664
tt0015036	6.7	146
tt0015039	7.2	894
tt0015064	8.1	12461
tt0015116	6.5	975
tt0015119	7.1	1072
tt0015136	7.1	1564
tt0015145	5.8	446
tt0015163	7.7	8977
tt0015167	6.6	876
tt0015174	7.9	3907
tt0015175	8.1	5152
tt0015200	4.6	104
tt0015202	7.0	2405
tt0015213	6.7	143
tt0015214	7.2	1561
tt0015224	7.0	896
tt0015268	7.1	415
tt0015289	6.3	163
tt0015310	7.0	472
tt0015312	5.4	218
tt0015324	8.2	40813
tt0015361	7.6	6974
tt0015400	7.7	5516
tt0015493	6.3	199
tt0015498	6.8	428
tt0015500	5.9	314
tt0015518	5.7	120
tt0015532	7.8	5377
tt0015624	7.9	6138
tt0015634	6.2	783
tt0015643	6.9	175
tt0015648	8.0	52427
tt0015684	6.3	510
tt0015687	6.6	245
tt0015693	6.4	679
tt0015758	6.9	418
tt0015768	7.1	1725
tt0015772	6.6	1730
tt0015794	6.3	132
tt0015801	7.1	310
tt0015841	7.5	4940
tt0015842	7.2	1379
tt0015847	5.9	102
tt0015861	6.6	421
tt0015863	7.2	3778
tt0015864	8.2	99249
tt0015872	6.9	150
tt0015873	7.8	926
tt0015881	8.1	8976
tt0015883	6.9	224
tt0015909	6.4	151
tt0015935	6.6	117
tt0016004	7.3	992
tt0016005	6.6	545
tt0016006	5.0	125
tt0016013	7.2	473
tt0016023	6.0	445
tt0016028	6.7	879
tt0016029	7.1	1426
tt0016039	7.0	4589
tt0016104	7.3	2136
tt0016123	6.2	920
tt0016142	6.4	106
tt0016185	7.1	319
tt0016201	6.2	206
tt0016205	6.7	127
tt0016220	7.6	16535
tt0016226	6.0	269
tt0016230	6.0	2140
tt0016232	7.0	190
tt0016240	6.8	134
tt0016241	3.8	131
tt0016258	7.1	319
tt0016276	6.6	300
tt0016288	6.3	174
tt0016294	6.7	127
tt0016308	6.6	487
tt0016309	3.9	135
tt0016310	6.7	329
tt0016332	7.9	9146
tt0016338	6.1	114
tt0016377	4.2	114
tt0016392	6.4	244
tt0016394	6.5	837
tt0016395	7.2	278
tt0016461	6.5	542
tt0016473	7.2	1654
tt0016480	6.8	289
tt0016481	7.4	1037
tt0016491	7.7	696
tt0016493	6.7	153
tt0016544	5.1	1398
tt0016545	5.7	245
tt0016548	6.9	123
tt0016559	6.8	113
tt0016560	5.3	608
tt0016563	6.6	126
tt0016627	6.9	1060
tt0016629	6.5	689
tt0016630	7.0	2892
tt0016634	7.0	340
tt0016640	6.4	364
tt0016641	7.8	7073
tt0016643	6.3	217
tt0016646	5.8	452
tt0016654	7.1	1669
tt0016655	6.8	652
tt0016664	5.5	140
tt0016669	7.3	1430
tt0016672	5.0	439
tt0016690	6.2	1402
tt0016691	6.6	118
tt0016762	6.6	141
tt0016804	7.0	739
tt0016822	6.7	891
tt0016827	4.5	119
tt0016832	6.9	433
tt0016847	8.1	13763
tt0016854	6.4	212
tt0016871	5.8	767
tt0016884	7.6	3939
tt0016895	7.4	1416
tt0016914	6.9	639
tt0016939	6.3	274
tt0016947	6.6	211
tt0016953	6.7	687
tt0016971	5.9	132
tt0017004	6.4	246
tt0017028	6.9	135
tt0017029	6.7	397
tt0017048	7.4	2848
tt0017075	7.3	10216
tt0017082	6.3	202
tt0017096	6.7	436
tt0017103	6.7	556
tt0017119	6.8	315
tt0017120	6.8	318
tt0017128	7.5	2481
tt0017136	8.3	158084
tt0017159	6.8	267
tt0017162	6.8	536
tt0017184	5.7	103
tt0017195	7.0	113
tt0017196	6.8	704
tt0017198	5.2	230
tt0017226	6.6	188
tt0017271	7.7	935
tt0017293	7.0	130
tt0017329	6.6	147
tt0017338	6.0	104
tt0017350	7.6	1553
tt0017354	6.4	139
tt0017372	6.7	161
tt0017374	5.8	130
tt0017376	7.3	443
tt0017378	6.7	291
tt0017382	6.8	248
tt0017409	7.0	322
tt0017410	6.1	167
tt0017416	6.6	1795
tt0017419	6.1	208
tt0017423	7.3	1152
tt0017437	6.7	771
tt0017438	6.9	585
tt0017448	7.1	2084
tt0017449	6.9	1076
tt0017463	7.5	1024
tt0017480	6.9	697
tt0017483	6.1	609
tt0017519	6.6	124
tt0017534	6.4	1720
tt0017540	6.8	347
tt0017567	7.0	697
tt0017619	7.5	337
tt0017621	6.2	289
tt0017632	5.8	353
tt0017653	7.0	202
tt0017662	7.0	186
tt0017667	6.8	701
tt0017668	7.6	3852
tt0017726	6.4	106
tt0017735	6.8	227
tt0017736	6.8	172
tt0017739	7.1	2693
tt0017743	6.9	878
tt0017750	7.1	379
tt0017751	6.5	217
tt0017765	7.1	4329
tt0017809	7.2	609
tt0017825	6.1	2111
tt0017832	4.8	209
tt0017843	5.7	2492
tt0017860	5.6	705
tt0017886	6.4	193
tt0017918	6.9	283
tt0017925	8.1	79878
tt0017928	6.6	163
tt0017938	7.0	769
tt0017961	7.4	922
tt0017998	7.2	237
tt0018014	6.6	211
tt0018016	6.3	188
tt0018033	7.3	2940
tt0018037	6.5	8958
tt0018045	6.9	267
tt0018051	7.6	3792
tt0018054	7.2	1898
tt0018066	7.3	1517
tt0018087	7.3	663
tt0018097	6.8	1168
tt0018102	6.3	431
tt0018107	6.9	885
tt0018113	6.1	764
tt0018138	5.8	355
tt0018166	6.7	392
tt0018179	6.4	528
tt0018183	7.4	788
tt0018192	8.1	6937
tt0018199	6.2	102
tt0018217	7.5	6961
tt0018218	6.4	317
tt0018235	6.8	124
tt0018246	6.6	275
tt0018247	6.3	111
tt0018253	5.8	475
tt0018268	6.3	107
tt0018297	6.4	729
tt0018311	6.6	1338
tt0018328	6.2	3123
tt0018351	7.0	190
tt0018362	6.2	328
tt0018379	7.6	3141
tt0018389	5.6	142
tt0018392	7.1	357
tt0018397	6.9	500
tt0018413	3.9	479
tt0018440	6.0	883
tt0018451	7.6	1352
tt0018453	6.3	106
tt0018455	8.1	46462
tt0018464	5.5	128
tt0018471	6.9	1422
tt0018484	6.1	106
tt0018487	5.8	460
tt0018505	7.4	1042
tt0018513	5.1	550
tt0018515	6.7	893
tt0018523	6.8	764
tt0018524	6.7	381
tt0018526	7.5	2592
tt0018528	7.8	7152
tt0018530	6.2	250
tt0018566	6.8	309
tt0018578	7.5	11298
tt0018579	3.1	104
tt0018588	6.8	201
tt0018600	6.3	109
tt0018615	7.1	316
tt0018618	6.0	957
tt0018678	6.4	398
tt0018684	7.5	965
tt0018722	4.8	137
tt0018737	7.9	9683
tt0018742	8.1	10261
tt0018749	6.2	806
tt0018756	5.6	1998
tt0018770	7.3	3439
tt0018773	8.1	29130
tt0018795	6.5	615
tt0018806	8.1	7439
tt0018826	6.8	148
tt0018836	6.7	336
tt0018839	7.5	3910
tt0018841	7.3	572
tt0018862	6.9	128
tt0018876	5.9	2457
tt0018879	5.9	154
tt0018882	6.9	153
tt0018907	6.4	135
tt0018908	6.9	263
tt0018909	7.1	628
tt0018910	3.8	305
tt0018927	6.8	341
tt0018935	6.7	234
tt0018937	6.6	636
tt0018972	6.6	398
tt0018990	6.9	155
tt0018996	6.0	117
tt0019043	7.1	305
tt0019067	6.9	400
tt0019071	8.0	3327
tt0019074	7.6	1695
tt0019096	5.7	735
tt0019098	6.1	635
tt0019109	7.8	2000
tt0019127	6.8	175
tt0019130	7.7	5895
tt0019151	6.8	515
tt0019152	6.8	342
tt0019182	5.3	116
tt0019186	6.5	175
tt0019195	7.3	1159
tt0019225	6.9	262
tt0019237	6.7	1515
tt0019254	8.1	46696
tt0019258	7.5	2330
tt0019286	7.1	1837
tt0019290	6.4	228
tt0019304	6.7	1110
tt0019312	6.8	103
tt0019325	6.0	171
tt0019335	3.5	124
tt0019344	7.2	2529
tt0019374	7.0	240
tt0019379	7.6	3471
tt0019388	6.2	206
tt0019400	6.1	972
tt0019403	7.7	603
tt0019412	7.7	3221
tt0019415	7.6	3104
tt0019421	7.9	13035
tt0019429	7.4	2113
tt0019434	6.0	239
tt0019451	6.8	348
tt0019462	6.0	227
tt0019480	6.5	215
tt0019489	6.9	362
tt0019509	7.3	420
tt0019532	6.6	349
tt0019553	6.4	134
tt0019557	6.1	393
tt0019558	7.4	1518
tt0019563	7.2	1606
tt0019571	6.2	152
tt0019574	6.9	757
tt0019585	8.0	6014
tt0019591	7.2	1365
tt0019609	6.8	118
tt0019611	7.1	832
tt0019629	7.1	189
tt0019630	5.8	676
tt0019644	7.0	1275
tt0019646	7.6	860
tt0019649	7.3	1820
tt0019655	7.4	1337
tt0019658	5.4	193
tt0019684	4.9	393
tt0019690	5.5	206
tt0019699	5.6	259
tt0019702	7.0	9518
tt0019725	6.2	343
tt0019726	6.5	120
tt0019729	5.7	6396
tt0019735	6.4	855
tt0019745	6.0	552
tt0019746	6.7	167
tt0019760	8.4	22196
tt0019777	7.0	6953
tt0019785	6.4	341
tt0019788	5.8	1991
tt0019796	6.4	395
tt0019798	6.5	262
tt0019800	5.9	112
tt0019811	6.5	1076
tt0019815	6.2	103
tt0019823	6.2	1041
tt0019824	6.2	658
tt0019838	6.6	330
tt0019839	3.0	116
tt0019843	7.1	379
tt0019850	7.2	481
tt0019852	6.8	449
tt0019856	6.6	131
tt0019884	5.9	256
tt0019886	6.6	232
tt0019889	6.0	105
tt0019901	7.3	2940
tt0019909	6.9	133
tt0019929	5.2	114
tt0019933	5.8	625
tt0019935	7.2	685
tt0019936	6.7	142
tt0019939	6.4	109
tt0019945	5.2	117
tt0019946	6.1	704
tt0019949	6.6	286
tt0019957	5.8	115
tt0019959	6.8	1537
tt0019976	7.2	526
tt0019979	5.1	121
tt0019983	5.3	290
tt0019992	5.8	135
tt0019993	5.9	1830
tt0020004	6.6	314
tt0020011	6.1	114
tt0020014	5.9	119
tt0020018	5.5	909
tt0020025	7.0	177
tt0020030	7.0	1142
tt0020034	6.1	266
tt0020062	6.9	947
tt0020075	7.3	218
tt0020078	6.7	325
tt0020080	6.7	452
tt0020081	6.1	394
tt0020092	6.7	624
tt0020103	6.0	432
tt0020112	7.1	1946
tt0020114	6.5	168
tt0020122	7.8	1160
tt0020126	5.9	436
tt0020142	6.2	2579
tt0020143	6.2	1145
tt0020144	5.6	381
tt0020163	7.4	2712
tt0020166	5.7	154
tt0020182	7.0	113
tt0020193	7.3	250
tt0020197	6.7	186
tt0020198	6.1	568
tt0020210	5.1	524
tt0020217	5.7	174
tt0020223	6.5	659
tt0020228	6.8	142
tt0020230	7.3	737
tt0020232	7.3	345
tt0020238	5.8	261
tt0020247	6.0	660
tt0020253	6.9	318
tt0020269	7.1	1360
tt0020286	6.5	726
tt0020293	6.7	180
tt0020298	7.1	3054
tt0020305	5.5	352
tt0020320	6.8	156
tt0020332	6.1	689
tt0020335	7.2	529
tt0020336	6.0	205
tt0020344	7.0	102
tt0020358	6.1	305
tt0020359	5.5	156
tt0020364	6.1	191
tt0020388	6.1	268
tt0020392	6.4	124
tt0020402	6.1	245
tt0020403	5.8	366
tt0020405	6.9	185
tt0020410	6.7	493
tt0020425	5.5	200
tt0020431	5.0	137
tt0020439	6.0	603
tt0020442	7.0	1849
tt0020446	4.9	350
tt0020451	7.3	1313
tt0020458	6.1	335
tt0020461	5.7	117
tt0020466	6.5	360
tt0020475	7.9	4050
tt0020479	6.3	517
tt0020480	5.6	137
tt0020488	5.9	561
tt0020490	5.8	141
tt0020492	5.9	558
tt0020499	6.6	511
tt0020502	6.3	169
tt0020510	6.6	265
tt0020514	6.6	1235
tt0020516	6.1	104
tt0020523	7.2	347
tt0020534	5.8	197
tt0020538	5.1	478
tt0020542	5.2	199
tt0020543	6.0	321
tt0020547	6.9	112
tt0020556	6.8	666
tt0020563	6.4	481
tt0020570	7.2	892
tt0020572	6.0	671
tt0020581	6.6	488
tt0020585	7.2	361
tt0020589	6.6	580
tt0020590	6.4	411
tt0020594	6.9	293
tt0020608	7.2	214
tt0020613	6.3	260
tt0020620	5.7	1326
tt0020629	8.0	56808
tt0020640	7.5	13439
tt0020641	6.6	2783
tt0020642	6.9	776
tt0020656	7.2	383
tt0020661	5.1	106
tt0020668	6.4	841
tt0020670	5.8	161
tt0020673	5.4	177
tt0020679	6.2	283
tt0020686	7.1	1866
tt0020690	5.8	215
tt0020691	7.2	3337
tt0020693	6.0	348
tt0020695	6.1	601
tt0020697	7.7	13473
tt0020701	6.2	416
tt0020702	5.4	327
tt0020713	5.6	241
tt0020724	5.4	135
tt0020740	4.7	125
tt0020754	6.2	112
tt0020758	5.7	342
tt0020763	5.7	116
tt0020768	7.8	2871
tt0020785	5.4	105
tt0020793	7.6	997
tt0020799	6.1	211
tt0020806	6.1	466
tt0020814	7.0	187
tt0020815	7.2	1611
tt0020821	6.5	540
tt0020823	6.0	150
tt0020827	6.8	2739
tt0020828	5.3	330
tt0020836	6.5	949
tt0020838	5.8	395
tt0020842	6.6	735
tt0020852	5.3	341
